Area,Name,Rating,Total Ratings,Address,Latitude,Longitude
Churchgate,Chaayos Cafe at Churchgate,4.0,921,"Express Building, Shop No. 1, Ground Floor, Part B, 14, IMC Marg, opposite Govt. Law College, Mumbai, Maharashtra 400020, India",18.9337105,72.82708629999999
Churchgate,Cafe Oval,4.1,306,"Kambatta Building, Maharshi Karve Rd, Churchgate, Mumbai, Maharashtra 400020, India",18.9318071,72.82806
Churchgate,Coffee By Di Bella Churchgate,4.5,27,"Jamshedji Tata Road, near Eros cenima, Churchgate, Mumbai, Maharashtra 400020, India",18.9312639,72.82698590000001
Churchgate,Banyan Tree Cafe,4.3,1395,"7, 9, Calicut Rd, Ballard Estate, Fort, Mumbai, Maharashtra 400001, India",18.935253,72.8383786
Churchgate,Cafe Bharat,3.8,1431,"Cafe Bharat, Railway Station, IMC Marg, opp. Churchgate, Churchgate, Mumbai, Maharashtra 400020, India",18.9334913,72.8270287
Churchgate,Zen Cafe,4.3,1136,"Fort Foundation Building, Bake House Ln, Kala Ghoda, Fort, Mumbai, Maharashtra 400001, India",18.9276626,72.832998
Churchgate,Cafe Markiv's,4.1,501,"Ground Floor, Industrial Assurance Building, Jamshedji Tata Road, opposite Eros Cinema, Churchgate, Mumbai, Maharashtra 400020, India",18.9324944,72.82755999999999
Churchgate,Kala Ghoda Cafe,4.3,4955,"10, Rope Walk Ln, Kala Ghoda, Fort, Mumbai, Maharashtra 400001, India",18.9284954,72.8322067
Churchgate,Cococart & CocoCafe - Jiji House,4.4,997,"Jiji House, Raveline Street Damodar Sukhadwala Marg, 17, D Sukhadwala Rd, Azad Maidan, Fort, Mumbai, Maharashtra 400001, India",18.937879,72.8328866
Churchgate,Café Coffee Day,4.1,2742,"Ground Floor, Sea Green, Marine Drive, Churchgate, Mumbai, Maharashtra 400020, India",18.9327005,72.82359819999999
Churchgate,The J,4.2,4235,"Shop 3, Ground Floor, Vaswani Mansion, Dinshaw Vacha Rd, opp. HR College, Churchgate, Mumbai, Maharashtra 400020, India",18.930182,72.82675979999999
Churchgate,Cafe Excelsior,4.1,1439,"Kitab Mahal, 23, AK Nayak Marg, opp. Excelsior Cinema, Azad Maidan, Fort, Mumbai, Maharashtra 400001, India",18.9375723,72.8336571
Churchgate,The Beer Café,3.9,1897,"Shop No 6,7, Ground Floor, Cambata Building, Churchgate, Mumbai, Maharashtra 400020, India",18.932121,72.8281442
Churchgate,Starbucks,4.4,2996,"Unit No 240/242, Gr Flr, Nirmal Building Barrister Rajni Patel Marg, Road, near Backbay Reclamation, Nariman Point, Mumbai, Maharashtra 400021, India",18.927624,72.822003
Churchgate,Starbucks,4.6,2399,"Ground Floor, Elphistone Building, 10-Veer Nariman Road, Horniman Circle, Fort, Mumbai, Maharashtra 400023, India",18.9322243,72.8342402
Churchgate,Earth Cafe @ Churchgate,4.3,29,"Ground Floor, Ram Mahal, Dinshaw Vacha Rd, near KC College, Churchgate, Mumbai, Maharashtra 400020, India",18.9299346,72.826207
Churchgate,145 Kala Ghoda,4.4,4278,"Temple Bar Building, 145, Mahatma Gandhi Road, Kala Ghoda, Fort, Mumbai, Maharashtra 400001, India",18.9282771,72.831861
Churchgate,Bombay Coffee House Fort,4.4,478,"3, SS Ram Gulam Marg, Ballard Estate, Fort, Mumbai, Maharashtra 400001, India",18.9359545,72.8406353
Churchgate,Sassanian,4.0,2692,"Metro, 98, Marine View, 1st Marine St, Cross Road, Dhobi Talao, Mumbai, Maharashtra 400002, India",18.9427208,72.826841
Churchgate,Bay view Cafe,4.2,3443,"25, PJ Ramchandani Marg, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9188514,72.8319915
Churchgate,Cafe Military,4.1,3015,"Alli Chambers, Nagindas Master Rd, Fort, Mumbai, Maharashtra 400001, India",18.9307767,72.83202399999999
Churchgate,210 Degree Churchgate,4.2,94,"Prem Court, Bldg, Jamshedji Tata Road, Churchgate, Mumbai, Maharashtra 400020, India",18.930411,72.82626599999999
Churchgate,Gaylord Restaurant,4.2,7287,"Mayfair Building, V N Rd, Churchgate, Mumbai, Maharashtra 400020, India",18.932879,72.82610129999999
Churchgate,Cafe Universal RESTAURANT &BAR,4.3,2111,"299, Shahid Bhagat Singh Rd, opp. Geo Chem Laboratories, Ballard Estate, Fort, Mumbai, Maharashtra 400001, India",18.9361382,72.8376123
Churchgate,Leopold Cafe,4.2,29972,"Police Station, Shahid Bhagat Singh Road, Colaba Causeway, near Colaba, Mumbai, Maharashtra 400001, India",18.9226402,72.8316401
Churchgate,Flavors Cafe at The Ambassador,4.0,141,"Located in- The Ambassador Hotel, Veer Nariman Rd, Churchgate, Mumbai, Maharashtra 400020, India",18.9338036,72.82486999999999
Churchgate,"Verandah, Mumbai",4.6,466,"Verandah lounge ,Lobby Level, Trident Nariman Point, Near Air India, Building,, Mumbai, Maharashtra 400005, India",18.9276746,72.820946
Churchgate,Cafe Churchill,4.3,2868,"East West Court Building, Colaba Causeway, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9199081,72.8302691
Churchgate,Geoffrey's,4.3,660,"No. 29, Hotel Marine Plaza, Opposite C. C. I Club, Marine Drive, Marine Lines, Mumbai, Maharashtra 400020, India",18.9312024,72.82312619999999
Churchgate,Beat House Cafe,4.1,163,"CAFE, SAPNA, BEAT HOUSE, MARINEMarine Ln, next to HOTEL, opp. GOL MASJID, Pathak Wadi, Sonapur, Marine Lines, Mumbai, Maharashtra 400002, India",18.9430169,72.8276477
Churchgate,L&S Bistro & Pizzeria,4.2,698,"Intercontinental 135 Marine Drive, Netaji Subhash Chandra Bose Rd, Churchgate, Mumbai, Maharashtra 400020, India",18.9350323,72.824201
Churchgate,Café New York,4.2,3225,"44, Dabholkar Building, N S Patkar Marg, Mumbai, Maharashtra 400007, India",18.9579482,72.8109554
Churchgate,Quattro Bistro Churchgate,4.3,46,"3, Jamshedji Tata Road, behind Eros cinema, opposite Satyam Collection, Churchgate, Mumbai, Maharashtra 400020, India",18.9314855,72.8270086
Churchgate,Cafe Marina,3.9,1747,"Sea Palace Hotel Mumbai, 26, PJ Ramchandani Marg, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9190833,72.83196939999999
Churchgate,Mish Cafe,4.8,279,"shop no 9, Hinduja College, Mehta bhavan, lane, Raja Ram Mohan Roy Rd, Mumbai, Maharashtra 400004, India",18.953211,72.8179833
Churchgate,The Nutcracker,4.4,3004,"Dr, Forbes St, Kala Ghoda, Fort, Mumbai, Maharashtra 400023, India",18.9283715,72.8337416
Churchgate,K. Rustoms & co. Ice Cream Parlour,4.4,13597,"Brabourne Stadium, 86, Veer Nariman Rd, Churchgate, Mumbai, Maharashtra 400020, India",18.9331391,72.8248995
Churchgate,Cafe Mondegar,4.4,4578,"Metro House, Colaba Causeway, near Regal Cinema, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9240503,72.8321547
Churchgate,Mani's Cafe,4.4,1105,"Stall, Vidhan Bhavan Marg, opposite Air India Building, Nariman Point, Mumbai, Maharashtra 400021, India",18.9286959,72.82274559999999
Churchgate,Cafe Free India,4.2,144,"24 A, Ramdev Hotel, Bansi Lal Building, Cafe free india, C/O, Mumbai Samachar Marg, Fort, Mumbai, Maharashtra 400023, India",18.9310602,72.8339888
Churchgate,SBI Cafestoria,4.8,101,"State Bank Bhavan, Madame Cama Rd, Nariman Point, Mumbai, Maharashtra 400021, India",18.9261817,72.825935
Churchgate,Cafe Unwind,4.0,138,"WRVH+5H9, New Marine Lines, Marine Lines, Mumbai, Maharashtra 400020, India",18.9429098,72.828975
Churchgate,The Cravin' Pantry,4.9,478,"Ground floor, Bansi Lal Building, 15-A, Homi Modi St, opposite Bombay House, Kala Ghoda, Fort, Mumbai, Maharashtra 400001, India",18.9312198,72.8334089
Churchgate,Relish International Veg Cuisine,4.4,5385,"1, Dinshaw Vacha Rd, Churchgate, Mumbai, Maharashtra 400020, India",18.9303663,72.82639809999999
Churchgate,Malido Cafe,4.6,420,"15-17-19, Burjorji, Bharucha Marg, Kala Ghoda, Fort, Mumbai, Maharashtra 400001, India",18.9286554,72.8321398
Churchgate,Blue Tokai Coffee Roasters | Nariman Point,4.3,330,"Unit No 25 & 26, Ground Floor, Commercial Center, CR2, Nariman Point, Mumbai, Maharashtra 400020, India",18.9264521,72.82267689999999
Churchgate,Poetry by Love and Cheesecake,4.3,1469,"Ground Floor, Machinery House, 3, Bharucha Marg, beside Gazal Gupta, Kala Ghoda, Fort, Mumbai, Maharashtra 400001, India",18.9286848,72.83226789999999
Churchgate,Flavourzy by Harsh Taylor,4.6,619,"Shop no-4, Ishwar Bhawan, 89, Khadilkar Rd, next to rimzim soda, Charni Road, Urankawadi, Kandewadi, Girgaon, Mumbai, Maharashtra 400004, India",18.9548066,72.82335499999999
Churchgate,Third Wave Coffee,4.6,443,"Plot No 29, Dr N A Purandare Marg Chowpatty Marine Lines, Girgaon, Mumbai, Maharashtra 400007, India",18.9554202,72.8136797
Churchgate,Cafe metro Family Restaurant,4.0,1586,"Jehangir Mansion, 5/A, Anandilal Podar Marg, beside Metro Cinema, New Marine Lines, Marine Lines, Mumbai, Maharashtra 400020, India",18.9428694,72.82842269999999
Churchgate,Rajasthan Tam Tam Tea Point,4.4,16,"Ground Floor, Baba Stall, opp. Hotel Balwas, New Marine Lines, Churchgate, Mumbai, Maharashtra 400020, India",18.9394988,72.8281737
Churchgate,Third Wave Coffee,4.8,1251,"Ground Floor, Star Mansion, Plot No 66, Wodehouse Rd, Cuffe Parade, Mumbai, Maharashtra 400005, India",18.9149945,72.8236451
